Nama Jurnal,ISSN,SJR,H-Index,Bidang Ilmu,Quartil
Ca-A Cancer Journal for Clinicians,15424863,145.004,223,Hematology,Q1
MMWR Recommendations and Reports,10575987,41.754,155,Epidemiology,Q1
Nature Reviews Molecular Cell Biology,14710072,37.353,531,Cell Biology,Q1
Quarterly Journal of Economics,00335533,35.995,322,Economics and Econometrics,Q1
Nature Reviews Drug Discovery,14741784,30.506,412,Drug Discovery,Q1
Nature Reviews Clinical Oncology,17594782,28.675,238,Oncology,Q1
American Economic Review,19447981,25.102,380,Economics and Econometrics,Q1
Nature Reviews Cancer,1474175X,24.378,527,Cancer Research,Q1
Journal of Finance,00221082,22.836,370,Accounting,Q1
Foundations and Trends in Machine Learning,19358245,22.797,42,Artificial Intelligence,Q1
Cell,00928674,22.612,925,"Biochemistry, Genetics and Molecular Biology",Q1
Econometrica,00129682,21.091,231,Economics and Econometrics,Q1
Nature Reviews Materials,20588437,19.43,215,Biomaterials,Q1
Review of Economic Studies,00346527,19.166,177,Economics and Econometrics,Q1
New England Journal of Medicine,00284793,19.076,1231,Medicine,Q1
Annals of Oncology,15698041,19.072,311,Hematology,Q1
Cancer Cell,15356108,19.027,416,Cancer Research,Q1
Nature Biotechnology,15461696,19.006,531,Applied Microbiology and Biotechnology,Q1
World Psychiatry,17238617,18.419,153,Psychiatry and Mental Health,Q1
Nature Medicine,1546170X,18.333,653,"Biochemistry, Genetics and Molecular Biology",Q1
Nature,14764687,18.288,1442,Multidisciplinary,Q1
Reviews of Modern Physics,00346861,18.08,399,Physics and Astronomy,Q1
Nature Reviews Disease Primers,2056676X,17.995,210,Medicine,Q1
Journal of Financial Economics,0304405X,17.669,331,Accounting,Q1
Nature Energy,20587546,17.599,259,"Electronic, Optical and Magnetic Materials",Q1
Nature Reviews Immunology,14741741,17.458,486,Immunology,Q1
Nature Methods,15487091,17.251,408,Biochemistry,Q1
Journal of Political Economy,00223808,17.087,225,Economics and Econometrics,Q1
Nature Genetics,10614036,16.586,660,Genetics,Q1
Review of Financial Studies,14657368,16.546,250,Accounting,Q1
Chemical Reviews,15206890,16.455,873,Chemistry,Q1
Annual Review of Immunology,15453278,16.428,337,Immunology,Q1
Nature Reviews Genetics,14710056,16.364,439,Genetics,Q1
National Vital Statistics Reports,15518922,15.519,120,Life-span and Life-course Studies,Q1
MMWR Surveillance Summaries,15458636,15.326,119,Epidemiology,Q1
Nature Reviews Methods Primers,26628449,15.026,67,"Biochemistry, Genetics and Molecular Biology",Q1
Nature Nanotechnology,17483387,14.612,444,"Atomic and Molecular Physics, and Optics",Q1
Living Reviews in Relativity,14338351,14.562,101,Physics and Astronomy,Q1
Academy of Management Review,03637425,14.402,320,"Business, Management and Accounting",Q1
Nature Materials,14764660,14.204,583,Chemistry,Q1
IEEE Communications Surveys and Tutorials,1553877X,14.184,287,Electrical and Electronic Engineering,Q1
Nature Catalysis,25201158,14.132,162,Biochemistry,Q1
Academy of Management Annals,19416520,13.877,119,Business and International Management,Q1
Nature Reviews Microbiology,17401534,13.861,393,Immunology and Microbiology,Q1
Annual Review of Psychology,00664308,13.786,298,Psychology,Q1
American Economic Journal: Macroeconomics,19457707,13.528,88,"Economics, Econometrics and Finance",Q1
Nature Reviews Earth and Environment,2662138X,13.465,91,Atmospheric Science,Q1
Nature Reviews Chemistry,23973358,13.441,131,Chemical Engineering,Q1
Journal of Marketing,15477185,13.394,296,Business and International Management,Q1
Journal of Economic Literature,00220515,12.749,189,Economics and Econometrics,Q1
Annual Review of Astronomy and Astrophysics,15454282,12.736,220,Astronomy and Astrophysics,Q1
Annual Review of Organizational Psychology and Organizational Behavior,23270608,12.191,86,Applied Psychology,Q1
The Lancet Diabetes and Endocrinology,22138595,12.19,189,Endocrinology,Q1
Annual Review of Pathology: Mechanisms of Disease,15534006,12.185,156,Medicine,Q1
Journal of Econometrics,03044076,12.168,198,Applied Mathematics,Q1
Physiological Reviews,15221210,12.167,401,Medicine,Q1
Immunity,10974180,12.163,475,Immunology,Q1
Signal Transduction and Targeted Therapy,20593635,12.135,161,Cancer Research,Q1
The Lancet,01406736,12.113,936,Medicine,Q1
Cell Metabolism,15504131,11.989,368,Cell Biology,Q1
Nature Cancer,26621347,11.941,81,Cancer Research,Q1
The Lancet Neurology,14744465,11.729,379,Neurology,Q1
MMWR supplements,23808942,11.672,30,Medicine,Q1
Nature Photonics,17494885,11.546,404,"Atomic and Molecular Physics, and Optics",Q1
Chemical Society Reviews,03060012,11.467,673,Chemistry,Q1
The Lancet Gastroenterology and Hepatology,24681253,11.398,123,Gastroenterology,Q1
eLight,26628643,11.392,32,"Atomic and Molecular Physics, and Optics",Q1
The Lancet Oncology,14702045,11.319,432,Oncology,Q1
Journal of Clinical Oncology,15277755,11.205,646,Cancer Research,Q1
Nature Neuroscience,10976256,11.197,496,Neuroscience,Q1
Nature Electronics,25201131,11.082,131,Electrical and Electronic Engineering,Q1
Joule,25424351,10.868,221,Energy,Q1
Kidney International Supplements,21571716,10.788,54,Nephrology,Q1
Nature Reviews Cardiology,17595010,10.662,201,Cardiology and Cardiovascular Medicine,Q1
Journal of Hepatology,16000641,10.575,319,Hepatology,Q1
Reviews of Geophysics,19449208,10.546,207,Geophysics,Q1
Energy and Environmental Science,17545692,10.529,466,Environmental Chemistry,Q1
Academy of Management Journal,00014273,10.528,396,Business and International Management,Q1
Science,10959203,10.416,1382,History and Philosophy of Science,Q1
Administrative Science Quarterly,00018392,10.393,218,Arts and Humanities,Q1
Nature Immunology,15292908,10.39,452,Immunology,Q1
Handbook of Industrial Organization,1573448X,10.234,13,Economics and Econometrics,Q1
Journal of Hematology and Oncology,17568722,10.192,171,Cancer Research,Q1
Organizational Research Methods,15527425,10.181,148,Decision Sciences,Q1
Strategic Management Journal,10970266,10.176,351,Business and International Management,Q1
Nature Biomedical Engineering,2157846X,10.105,140,Bioengineering,Q1
Nature Reviews Gastroenterology and Hepatology,17595045,9.911,211,Gastroenterology,Q1
Nature Reviews Physics,25225820,9.803,87,Physics and Astronomy,Q1
Annual Review of Condensed Matter Physics,19475454,9.795,96,Condensed Matter Physics,Q1
NBER Macroeconomics Annual,15372642,9.76,71,Economics and Econometrics,Q1
eScience,20972431,9.726,63,Electrochemistry,Q1
Morbidity and Mortality Weekly Report,01492195,9.559,274,Epidemiology,Q1
Annual Review of Biochemistry,15454509,9.52,332,Biochemistry,Q1
Astronomy and Astrophysics Review,09354956,9.465,84,Astronomy and Astrophysics,Q1
Nature Reviews Neuroscience,14710048,9.331,493,Neuroscience,Q1
Cell Stem Cell,19345909,9.313,316,Cell Biology,Q1
Molecular Cancer,14764598,9.263,222,Cancer Research,Q1
Endocrine Reviews,19457189,9.175,317,Endocrinology,Q1
Annals of Mathematics Studies,00662313,9.135,26,Mathematics,Q1
Acta Mathematica,00015962,9.069,80,Mathematics,Q1
Molecular Cell,10974164,9.051,459,Cell Biology,Q1
Journal of the American College of Cardiology,15583597,9.015,512,Cardiology and Cardiovascular Medicine,Q1
Gut,14683288,8.874,364,Gastroenterology,Q1
Advanced Materials,09359648,8.851,675,Materials Science,Q1
Cell Research,17487838,8.74,232,Cell Biology,Q1
Psychological Bulletin,00332909,8.696,379,History and Philosophy of Science,Q1
Circulation,00097322,8.668,691,Cardiology and Cardiovascular Medicine,Q1
Journal of Management,01492063,8.636,296,Finance,Q1
Annals of Mathematics,0003486X,8.627,145,Mathematics,Q1
American Economic Journal: Applied Economics,19457790,8.597,117,"Economics, Econometrics and Finance",Q1
Progress in Materials Science,18732208,8.566,255,Materials Science,Q1
Journal of Consumer Research,00935301,8.562,234,Anthropology,Q1
European Urology,18737560,8.529,274,Urology,Q1
The Lancet Public Health,24682667,8.408,106,"Public Health, Environmental and Occupational Health",Q1
Journal of Accounting Research,1475679X,8.396,179,Accounting,Q1
Advanced Energy Materials,16146832,8.378,355,Materials Science,Q1
JAMA Oncology,23742445,8.377,193,Cancer Research,Q1
Annual Review of Public Health,01637525,8.291,189,Medicine,Q1
Journal of Economic Perspectives,08953309,8.262,239,Economics and Econometrics,Q1
Annual Review of Fluid Mechanics,15454479,8.258,231,Condensed Matter Physics,Q1
Annual Review of Plant Biology,15452123,8.258,307,Cell Biology,Q1
Review of Finance,1573692X,8.22,83,Accounting,Q1
Science Immunology,24709468,8.22,123,Immunology,Q1
Innovation,26666758,8.218,55,Multidisciplinary,Q1
Nano-Micro Letters,23116706,8.188,146,Electrical and Electronic Engineering,Q1
Annual Review of Economics,19411383,8.094,84,Economics and Econometrics,Q1
Nature Climate Change,17586798,8.046,296,Environmental Science,Q1
Progress in Energy and Combustion Science,03601285,8.031,243,Chemical Engineering,Q1
Organization Science,15265455,8.026,294,Management of Technology and Innovation,Q1
Annual Review of Clinical Psychology,15485951,8.021,158,Clinical Psychology,Q1
Nature Reviews Bioengineering,27316092,7.993,27,Applied Microbiology and Biotechnology,Q1
Advances in Optics and Photonics,19438206,7.982,91,"Atomic and Molecular Physics, and Optics",Q1
Journal of Thoracic Oncology,15561380,7.948,190,Medicine,Q1
American Economic Journal: Economic Policy,19457731,7.94,97,"Economics, Econometrics and Finance",Q1
Nature Reviews Endocrinology,17595037,7.884,224,Endocrinology,Q1
Journal of Monetary Economics,03043932,7.872,158,Economics and Econometrics,Q1
Annual Review of Physiology,00664278,7.82,246,Physiology,Q1
Electrochemical Energy Reviews,25208136,7.79,76,Chemical Engineering,Q1
Nucleic Acids Research,03051048,7.776,675,Genetics,Q1
Nature Cell Biology,14764679,7.711,420,Cell Biology,Q1
Marketing Science,07322399,7.543,159,Business and International Management,Q1
Nature Metabolism,25225812,7.529,92,Cell Biology,Q1
Journal of Accounting and Economics,01654101,7.505,197,Accounting,Q1
Journal of the European Economic Association,15424774,7.503,125,"Economics, Econometrics and Finance",Q1
The Lancet Psychiatry,22150374,7.458,160,Biological Psychiatry,Q1
Living Reviews in Solar Physics,16144961,7.431,74,Astronomy and Astrophysics,Q1
Review of Economics and Statistics,00346535,7.425,211,Economics and Econometrics,Q1
Interdisciplinary Materials,2767441X,7.351,34,Materials Science,Q1
Nature Reviews Nephrology,1759507X,7.309,177,Nephrology,Q1
Foundations and Trends in Signal Processing,19328346,7.305,22,Signal Processing,Q1
Nature Sustainability,23989629,7.292,146,Ecology,Q1
Cancer Discovery,21598274,7.283,250,Oncology,Q1
Gastroenterology,15280012,7.195,482,Gastroenterology,Q1
Nature Physics,17452473,7.125,349,Physics and Astronomy,Q1
Annual Review of Neuroscience,0147006X,7.112,269,Neuroscience,Q1
Nature Aging,26628465,7.081,51,Aging,Q1
Cell Host and Microbe,19346069,7.067,255,Cancer Research,Q1
Nature Reviews Psychology,27310574,7.064,33,Clinical Psychology,Q1
Materials Science and Engineering R: Reports,0927796X,7.056,182,Condensed Matter Physics,Q1
Journal of the American Mathematical Society,10886834,7.033,116,Applied Mathematics,Q1
IEEE Journal on Selected Areas in Communications,07338716,7.023,274,Computer Networks and Communications,Q1
Neuro-Oncology,15228517,6.974,178,Cancer Research,Q1
Journal of Marketing Research,00222437,6.961,212,Business and International Management,Q1
Advances in Methods and Practices in Psychological Science,25152459,6.947,49,Psychology,Q1
Annual Review of Political Science,10942939,6.903,138,Sociology and Political Science,Q1
Journal of the Academy of Marketing Science,00920703,6.896,221,Business and International Management,Q1
Nature Microbiology,20585276,6.893,157,Applied Microbiology and Biotechnology,Q1
Entrepreneurship Theory and Practice,10422587,6.876,212,Business and International Management,Q1
Organization Theory,26317877,6.872,33,Organizational Behavior and Human Resource Management,Q1
The Lancet Digital Health,25897500,6.838,85,Decision Sciences,Q1
Journal of Applied Psychology,19391854,6.803,353,Applied Psychology,Q1
ACS Energy Letters,23808195,6.799,223,Chemistry,Q1
Annual Review of Medicine,1545326X,6.794,182,"Biochemistry, Genetics and Molecular Biology",Q1
Annual Review of Cell and Developmental Biology,15308995,6.788,247,Cell Biology,Q1
The Lancet Respiratory Medicine,22132619,6.788,197,Pulmonary and Respiratory Medicine,Q1
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,16181913,6.783,52,Mathematics,Q1
Neuron,10974199,6.755,548,Neuroscience,Q1
Science Translational Medicine,19466234,6.722,303,Medicine,Q1
Nature Chemistry,17554330,6.71,308,Chemical Engineering,Q1
Clinical Psychology Review,18737811,6.617,269,Clinical Psychology,Q1
Acta Numerica,14740508,6.61,91,Mathematics,Q1
Pharmacological Reviews,15210081,6.603,264,Molecular Medicine,Q1
Journal of Human Resources,15488004,6.588,129,Economics and Econometrics,Q1
Annual Review of Marine Science,19410611,6.571,133,Oceanography,Q1
Diabetes Care,19355548,6.566,433,Advanced and Specialized Nursing,Q1
Fungal Diversity,15602745,6.546,136,Ecology,Q1
Annual Review of Genetics,15452948,6.455,208,Genetics,Q1
Physical Review X,21603308,6.415,198,Physics and Astronomy,Q1
Journal of Labor Economics,0734306X,6.404,136,Economics and Econometrics,Q1
Cancer Communications,25233548,6.403,94,Cancer Research,Q1
The Lancet Planetary Health,25425196,6.386,90,Health Policy,Q1
Innovation Geoscience,29598753,6.384,2,Earth and Planetary Sciences,Q1
American Journal of Political Science,00925853,6.28,215,Political Science and International Relations,Q1
International Journal of Information Management,02684012,6.26,196,Artificial Intelligence,Q1
Qualitative Research in Psychology,14780895,6.248,56,Psychology,Q1
Proceedings of the IEEE,15582256,6.247,339,Computer Science,Q1
Cell Genomics,2666979X,6.238,31,"Biochemistry, Genetics and Molecular Biology",Q1
JAMA Neurology,21686157,6.237,284,Neurology,Q1
Journal of Business Venturing,08839026,6.234,235,Business and International Management,Q1
iMeta,2770596X,6.223,28,Biotechnology,Q1
Nature Structural and Molecular Biology,15459993,6.187,310,Molecular Biology,Q1
Inventiones Mathematicae,00209910,6.183,132,Mathematics,Q1
Nano Research Energy,27910091,6.16,40,Chemistry,Q1
Progress in Polymer Science,00796700,6.089,346,Ceramics and Composites,Q1
Nature Food,26621355,6.088,76,Agronomy and Crop Science,Q1
Analytic Methods in Accident Research,22136657,6.076,63,Safety Research,Q1
